organism,count
Homo sapiens,69885
Mus musculus,50245
Arabidopsis thaliana,48000
Drosophila melanogaster,30104
Caenorhabditis elegans,28525
Rattus norvegicus,27315
Zea mays,20571
Danio rerio,18092
Bos taurus,14554
Xenopus laevis,10500
Xenopus tropicalis,8615
Gallus gallus,8529
Glycine max,8137
Saccharomyces cerevisiae S288C,6002
Macaca mulatta,5811
Schizosaccharomyces pombe,5120
Eremothecium gossypii ATCC 10895,4764
Oryza sativa Japonica Group,4763
Sus scrofa,4345
Pongo abelii,3684
Salmo salar,3528
Solanum lycopersicum,2782
Equus caballus,2379
Bombyx mori,2371
Canis lupus familiaris,2234
Pan troglodytes,2150
Encephalitozoon cuniculi GB-M1,2122
Acyrthosiphon pisum,1816
Nicotiana tabacum,1468
Oryctolagus cuniculus,1393
Ictalurus punctatus,1364
Oncorhynchus mykiss,1229
Nasonia vitripennis,1098
Gossypium hirsutum,1079
Taeniopygia guttata,993
Callorhinchus milii,990
Papilio xuthus,939
Ciona intestinalis,896
Solanum tuberosum,896
Ovis aries,891
Esox lucius,862
Malus domestica,709
Oryzias latipes,683
Brassica napus,669
Tribolium castaneum,663
Apis mellifera,590
Papio anubis,501
Takifugu rubripes,486
Cavia porcellus,477
Vitis vinifera,451
Saccoglossus kowalevskii,435
Felis catus,431
Aedes aegypti,428
Papilio polytes,421
Strongylocentrotus purpuratus,407
Capra hircus,382
Monodelphis domestica,355
Ornithorhynchus anatinus,348
Cucumis sativus,346
Capsicum annuum,344
Cricetulus griseus,325
Lathyrus oleraceus,289
Mesocricetus auratus,272
Aplysia californica,263
Triticum aestivum,262
Cicer arietinum,252
Callithrix jacchus,213
Jatropha curcas,212
Brassica rapa,209
Anopheles funestus,208
Hydra vulgaris,197
Oreochromis niloticus,174
Plutella xylostella,166
Bubalus bubalis,164
Medicago truncatula,164
Spinacia oleracea,148
Anas platyrhynchos,147
Magallana gigas,141
Heterocephalus glaber,140
Microplitis demolitor,139
Cucumis melo,135
Citrus sinensis,134
Brachypodium distachyon,133
Ricinus communis,119
Cynoglossus semilaevis,111
Gorilla gorilla gorilla,110
Ailuropoda melanoleuca,108
Larimichthys crocea,104
Musca domestica,90
Tetranychus urticae,88
Meleagris gallopavo,85
Pan paniscus,84
Elaeis guineensis,78
Fundulus heteroclitus,77
Vigna radiata,77
Sorghum bicolor,76
Macaca fascicularis,75
Haplochromis burtoni,73
Pyrus x bretschneideri,72
Gasterosteus aculeatus,65
Columba livia,65
Venturia canescens,63
Mustela putorius furo,62
Coturnix japonica,62
Panthera tigris,62
Ceratitis capitata,60
Macaca nemestrina,60
Anolis carolinensis,59
Nicotiana sylvestris,59
Solanum pennellii,57
Kryptolebias marmoratus,57
Physcomitrium patens,56
Helianthus annuus,55
Setaria italica,51
Biomphalaria glabrata,49
Gossypium arboreum,49
Prunus mume,47
Pongo pygmaeus,47
Alligator mississippiensis,44
Pelodiscus sinensis,44
Lotus japonicus,43
Populus trichocarpa,41
Cercocebus atys,39
Populus euphratica,39
Parasteatoda tepidariorum,39
Tursiops truncatus,39
Eucalyptus grandis,39
Camelina sativa,38
Chelonus insularis,38
Stomoxys calcitrans,38
